name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,ml,rating
100% Bran,N,C,88.83,5.08,1.27,164.97,12.69,6.35,7.61,355.33,100,68.402973
100% Natural Bran,Q,C,152.28,3.81,6.35,19.04,2.54,10.15,10.15,171.32,100,33.983679
All-Bran,K,C,88.83,5.08,1.27,329.95,11.42,8.88,6.35,406.09,100,59.425505
All-Bran with Extra Fiber,K,C,63.45,5.08,0,177.66,17.77,10.15,0,418.78,100,93.704912
Almond Delight,R,C,139.59,2.54,2.54,253.81,1.27,17.77,10.15,-1.27,100,34.384843
Apple Cinnamon Cheerios,G,C,139.59,2.54,2.54,228.43,1.9,13.32,12.69,88.83,100,29.509541
Apple Jacks,K,C,139.59,2.54,0,158.63,1.27,13.96,17.77,38.07,100,33.174094
Basic 4,G,C,164.97,3.81,2.54,266.5,2.54,22.84,10.15,126.9,100,37.038562
Bran Chex,R,C,114.21,2.54,1.27,253.81,5.08,19.04,7.61,158.63,100,49.120253
Bran Flakes,P,C,114.21,3.81,0,266.5,6.35,16.5,6.35,241.12,100,53.313813
Cap'n'Crunch,Q,C,152.28,1.27,2.54,279.19,0,15.23,15.23,44.42,100,18.042851
Cheerios,G,C,139.59,7.61,2.54,368.02,2.54,21.57,1.27,133.25,100,50.764999
Cinnamon Toast Crunch,G,C,152.28,1.27,3.81,266.5,0,16.5,11.42,57.11,100,19.823573
Clusters,G,C,139.59,3.81,2.54,177.66,2.54,16.5,8.88,133.25,100,40.400208
Cocoa Puffs,G,C,139.59,1.27,1.27,228.43,0,15.23,16.5,69.8,100,22.736446
Corn Chex,R,C,139.59,2.54,0,355.33,0,27.92,3.81,31.73,100,41.445019
Corn Flakes,K,C,126.9,2.54,0,368.02,1.27,26.65,2.54,44.42,100,45.863324
Corn Pops,K,C,139.59,1.27,0,114.21,1.27,16.5,15.23,25.38,100,35.782791
Count Chocula,G,C,139.59,1.27,1.27,228.43,0,15.23,16.5,82.49,100,22.396513
Cracklin' Oat Bran,K,C,139.59,3.81,3.81,177.66,5.08,12.69,8.88,203.05,100,40.448772
Cream of Wheat (Quick),N,H,126.9,3.81,0,101.52,1.27,26.65,0,-1.27,100,64.533816
Crispix,K,C,139.59,2.54,0,279.19,1.27,26.65,3.81,38.07,100,46.895644
Crispy Wheat & Raisins,G,C,126.9,2.54,1.27,177.66,2.54,13.96,12.69,152.28,100,36.176196
Double Chex,R,C,126.9,2.54,0,241.12,1.27,22.84,6.35,101.52,100,44.330856
Froot Loops,K,C,139.59,2.54,1.27,158.63,1.27,13.96,16.5,38.07,100,32.207582
Frosted Flakes,K,C,139.59,1.27,0,253.81,1.27,17.77,13.96,31.73,100,31.435973
Frosted Mini-Wheats,K,C,126.9,3.81,0,0,3.81,17.77,8.88,126.9,100,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,P,C,152.28,3.81,2.54,203.05,6.35,15.23,12.69,253.81,100,40.917047
Fruitful Bran,K,C,152.28,3.81,0,304.57,6.35,17.77,15.23,241.12,100,41.015492
Fruity Pebbles,P,C,139.59,1.27,1.27,171.32,0,16.5,15.23,31.73,100,28.025765
Golden Crisp,P,C,126.9,2.54,0,57.11,0,13.96,19.04,50.76,100,35.252444
Golden Grahams,G,C,139.59,1.27,1.27,355.33,0,19.04,11.42,57.11,100,23.804043
Grape Nuts Flakes,P,C,126.9,3.81,1.27,177.66,3.81,19.04,6.35,107.87,100,52.076897
Grape-Nuts,P,C,139.59,3.81,0,215.74,3.81,21.57,3.81,114.21,100,53.371007
Great Grains Pecan,P,C,152.28,3.81,3.81,95.18,3.81,16.5,5.08,126.9,100,45.811716
Honey Graham Ohs,Q,C,152.28,1.27,2.54,279.19,1.27,15.23,13.96,57.11,100,21.871292
Honey Nut Cheerios,G,C,139.59,3.81,1.27,317.26,1.9,14.59,12.69,114.21,100,31.072217
Honey-comb,P,C,139.59,1.27,0,228.43,0,17.77,13.96,44.42,100,28.742414
Just Right Crunchy  Nuggets,K,C,139.59,2.54,1.27,215.74,1.27,21.57,7.61,76.14,100,36.523683
Just Right Fruit & Nut,K,C,177.66,3.81,1.27,215.74,2.54,25.38,11.42,120.56,100,36.471512
Kix,G,C,139.59,2.54,1.27,329.95,0,26.65,3.81,50.76,100,39.241114
Life,Q,C,126.9,5.08,2.54,190.36,2.54,15.23,7.61,120.56,100,45.328074
Lucky Charms,G,C,139.59,2.54,1.27,228.43,0,15.23,15.23,69.8,100,26.734515
Maypo,A,H,126.9,5.08,1.27,0,0,20.3,3.81,120.56,100,54.850917
Muesli Raisins; Dates; & Almonds,R,C,190.36,5.08,3.81,120.56,3.81,20.3,13.96,215.74,100,37.136863
Muesli Raisins; Peaches; & Pecans,R,C,190.36,5.08,3.81,190.36,3.81,20.3,13.96,215.74,100,34.139765
Mueslix Crispy Blend,K,C,203.05,3.81,2.54,190.36,3.81,21.57,16.5,203.05,100,30.313351
Multi-Grain Cheerios,G,C,126.9,2.54,1.27,279.19,2.54,19.04,7.61,114.21,100,40.105965
Nut&Honey Crunch,K,C,152.28,2.54,1.27,241.12,0,19.04,11.42,50.76,100,29.924285
Nutri-Grain Almond-Raisin,K,C,177.66,3.81,2.54,279.19,3.81,26.65,8.88,164.97,100,40.69232
Nutri-grain Wheat,K,C,114.21,3.81,0,215.74,3.81,22.84,2.54,114.21,100,59.642837
Oatmeal Raisin Crisp,G,C,164.97,3.81,2.54,215.74,1.9,17.13,12.69,152.28,100,30.450843
Post Nat. Raisin Bran,P,C,152.28,3.81,1.27,253.81,7.61,13.96,17.77,329.95,100,37.840594
Product 19,K,C,126.9,3.81,0,406.09,1.27,25.38,3.81,57.11,100,41.50354
Puffed Rice,Q,C,63.45,1.27,0,0,0,16.5,0,19.04,100,60.756112
Puffed Wheat,Q,C,63.45,2.54,0,0,1.27,12.69,0,63.45,100,63.005645
Quaker Oat Squares,Q,C,126.9,5.08,1.27,171.32,2.54,17.77,7.61,139.59,100,49.511874
Quaker Oatmeal,Q,H,126.9,6.35,2.54,0,3.43,-1.27,-1.27,139.59,100,50.828392
Raisin Bran,K,C,152.28,3.81,1.27,266.5,6.35,17.77,15.23,304.57,100,39.259197
Raisin Nut Bran,G,C,126.9,3.81,2.54,177.66,3.17,13.32,10.15,177.66,100,39.7034
Raisin Squares,K,C,114.21,2.54,0,0,2.54,19.04,7.61,139.59,100,55.333142
Rice Chex,R,C,139.59,1.27,0,304.57,0,29.19,2.54,38.07,100,41.998933
Rice Krispies,K,C,139.59,2.54,0,368.02,0,27.92,3.81,44.42,100,40.560159
Shredded Wheat,N,C,101.52,2.54,0,0,3.81,20.3,0,120.56,100,68.235885
Shredded Wheat 'n'Bran,N,C,114.21,3.81,0,0,5.08,24.11,0,177.66,100,74.472949
Shredded Wheat spoon size,N,C,114.21,3.81,0,0,3.81,25.38,0,152.28,100,72.801787
Smacks,K,C,139.59,2.54,1.27,88.83,1.27,11.42,19.04,50.76,100,31.230054
Special K,K,C,139.59,7.61,0,291.88,1.27,20.3,3.81,69.8,100,53.131324
Strawberry Fruit Wheats,N,C,114.21,2.54,0,19.04,3.81,19.04,6.35,114.21,100,59.363993
Total Corn Flakes,G,C,139.59,2.54,1.27,253.81,0,26.65,3.81,44.42,100,38.839746
Total Raisin Bran,G,C,177.66,3.81,1.27,241.12,5.08,19.04,17.77,291.88,100,28.592785
Total Whole Grain,G,C,126.9,3.81,1.27,253.81,3.81,20.3,3.81,139.59,100,46.658844
Triples,G,C,139.59,2.54,1.27,317.26,0,26.65,3.81,76.14,100,39.106174
Trix,G,C,139.59,1.27,1.27,177.66,0,16.5,15.23,31.73,100,27.753301
Wheat Chex,R,C,126.9,3.81,1.27,291.88,3.81,21.57,3.81,145.94,100,49.787445
Wheaties,G,C,126.9,3.81,1.27,253.81,3.81,21.57,3.81,139.59,100,51.592193
Wheaties Honey Gold,G,C,139.59,2.54,1.27,253.81,1.27,20.3,10.15,76.14,100,36.187559
